Transaction Date,Post Date,Description,Category,Type,Amount,Memo,classified_entity,confidence,classification_reason,needs_review,source_file,date_processed,Business_Unit,Justification,From_Entity,To_Entity,Intercompany_Type,Elimination_Required,Elimination_Amount,transaction_id,Currency,Crypto_Amount,USD_Equivalent,Conversion_Note,keywords_action_type,primary_action,keywords_platform,primary_platform,keywords_asset_type,primary_asset,keywords_transaction_nature,primary_transaction,keywords_counterparty,primary_counterparty,Amount_USD
09/03/2025,09/05/2025,SOCIALPLUG.IO,Merchandise & Inventory,Sale,-20.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976666,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,dbecb3923c8e,USD,,-20.0,,,,,,,,,,,,20.0
09/04/2025,09/05/2025,USERGUIDING.COM,Office & Shipping,Sale,-99.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976686,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,effd3050767a,USD,,-99.0,,,,,,,,,,,,99.0
09/04/2025,09/05/2025,Twitter Online Ads,Professional Services,Sale,-201.8,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976705,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,f4be0a96c587,USD,,-201.8,,,,,,,,,,,,201.8
09/04/2025,09/05/2025,A. WASHINGTON TRAVEL &amp; PA,Office & Shipping,Sale,-122.13,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976727,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,b8ea19e55de2,USD,,-122.13,,,,,,,,,,,,122.13
09/04/2025,09/05/2025,IFD*DAKI CD BARUERI LT,Food & Drink,Sale,-11.59,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976747,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,adf11f73cb83,USD,,-11.59,,,,,,,,,,,,11.59
09/04/2025,09/05/2025,SUBADQ *NUMERO UM SPOR,Health & Wellness,Sale,-139.51,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976767,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,2b1124898b3b,USD,,-139.51,,,,,,,,,,,,139.51
09/04/2025,09/04/2025,Payment Thank You-Mobile,,Payment,500.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976787,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,87c2e1f971a1,USD,,500.0,,PAYMENT,PAYMENT,,,,,,,,,500.0
09/04/2025,09/04/2025,UPWORK * -842853154,Professional Services,Sale,-945.37,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976806,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,68f8f2717720,USD,,-945.37,,,,,,,,,,,,945.37
09/03/2025,09/04/2025,Twitter Online Ads,Professional Services,Sale,-120.02,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976825,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,13dcec69cc86,USD,,-120.02,,,,,,,,,,,,120.02
09/03/2025,09/04/2025,Twitter Online Ads,Professional Services,Sale,-11.4,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976843,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,0b2aad86e71f,USD,,-11.4,,,,,,,,,,,,11.4
09/04/2025,09/04/2025,PADDLE.NET* N8N CLOUD1,Merchandise & Inventory,Sale,-27.61,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976863,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,f68c4a1d012b,USD,,-27.61,,,,,,,,,,,,27.61
09/03/2025,09/04/2025,DNH*GODADDY#3878262856,Bills & Utilities,Sale,-78.44,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976883,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,b9395f1924fd,USD,,-78.44,,,,,,,,,,,,78.44
09/03/2025,09/03/2025,Payment Thank You-Mobile,,Payment,1500.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976902,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,2a38538047a1,USD,,1500.0,,PAYMENT,PAYMENT,,,,,,,,,1500.0
09/03/2025,09/03/2025,Payment Thank You-Mobile,,Payment,500.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976921,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,87c2e1f971a1,USD,,500.0,,PAYMENT,PAYMENT,,,,,,,,,500.0
09/03/2025,09/03/2025,Payment Thank You-Mobile,,Payment,400.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976940,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,676894c67899,USD,,400.0,,PAYMENT,PAYMENT,,,,,,,,,400.0
09/02/2025,09/03/2025,Twitter Online Ads,Professional Services,Sale,-160.85,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976958,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,01182629d54a,USD,,-160.85,,,,,,,,,,,,160.85
09/02/2025,09/02/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-733.46,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976979,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,2c9cf3afdcd0,USD,,-733.46,,,,CHASE,CHASE,,,INTEREST,INTEREST,,,733.46
09/01/2025,09/02/2025,VERCEL INC.,Professional Services,Sale,-20.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976997,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,65b255f96ffd,USD,,-20.0,,,,,,,,,,,,20.0
09/01/2025,09/02/2025,GOOGLE *CLOUD 3zGX64,Office & Shipping,Sale,-1112.75,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977017,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,032c28e2c097,USD,,-1112.75,,,,,,,,,,,,1112.75
09/01/2025,09/02/2025,DL *GOOGLE ADS46245574,Professional Services,Sale,-18.97,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977036,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,aa299761ac98,USD,,-18.97,,,,,,,,,,,,18.97
08/31/2025,09/02/2025,UBER * PENDING,Travel,Sale,-3.85,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977054,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,d7099053a1fd,USD,,-3.85,,,,,,,,,,,,3.85
08/31/2025,09/02/2025,UBER * PENDING,Travel,Sale,-3.22,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977072,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,77d6aaea7845,USD,,-3.22,,,,,,,,,,,,3.22
09/02/2025,09/02/2025,LOVABLE,Office & Shipping,Sale,-50.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977091,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,759bff0381e2,USD,,-50.0,,,,,,,,,,,,50.0
08/31/2025,09/02/2025,UBER * PENDING,Travel,Sale,-1.16,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977110,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,3a09ec328818,USD,,-1.16,,,,,,,,,,,,1.16
09/01/2025,09/01/2025,UBER* TRIP,Travel,Sale,-0.92,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977128,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,b448f71b65b0,USD,,-0.92,,,,,,,,,,,,0.92
08/30/2025,08/31/2025,UBER* TRIP,Travel,Sale,-3.03,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977146,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,5d0685595aac,USD,,-3.03,,,,,,,,,,,,3.03
08/29/2025,08/31/2025,ELEVENLABS.IO,Office & Shipping,Sale,-5.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977165,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,348a5b9f8880,USD,,-5.0,,,,,,,,,,,,5.0
08/28/2025,08/29/2025,GOOGLE *CLOUD BCvLPR,Office & Shipping,Sale,-500.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977183,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,a1d572ccefa4,USD,,-500.0,,,,,,,,,,,,500.0
08/28/2025,08/29/2025,UPWORK * -840769412,Professional Services,Sale,-2196.31,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977202,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,b6e9df863479,USD,,-2196.31,,,,,,,,,,,,2196.31
08/28/2025,08/28/2025,Payment Thank You-Mobile,,Payment,3000.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977221,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,d8cd76f0680e,USD,,3000.0,,PAYMENT,PAYMENT,,,,,,,,,3000.0
08/27/2025,08/28/2025,UBER* TRIP,Travel,Sale,-3.51,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977240,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,1ee8b0eda794,USD,,-3.51,,,,,,,,,,,,3.51
08/27/2025,08/28/2025,DL *GOOGLE ADS46245574,Professional Services,Sale,-9.23,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977259,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,ff323d1a6d7d,USD,,-9.23,,,,,,,,,,,,9.23
08/27/2025,08/28/2025,UBER * PENDING,Travel,Sale,-3.85,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977278,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,d7099053a1fd,USD,,-3.85,,,,,,,,,,,,3.85
08/27/2025,08/28/2025,DL *GOOGLE ADS46245574,Professional Services,Sale,-36.94,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977296,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,ddd644ca38e8,USD,,-36.94,,,,,,,,,,,,36.94
08/27/2025,08/28/2025,ISABEL G N N RESTAUR,Food & Drink,Sale,-28.81,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977317,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,781dc6c19cbe,USD,,-28.81,,,,,,,,,,,,28.81
08/26/2025,08/27/2025,GOOGLE *CLOUD zD24QR,Office & Shipping,Sale,-200.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977338,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,1c8822f839d2,USD,,-200.0,,,,,,,,,,,,200.0
08/25/2025,08/26/2025,T34 CORPORATION,Entertainment,Sale,-49.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977360,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,f8ce1ff99401,USD,,-49.0,,,,,,,,,,,,49.0
08/25/2025,08/26/2025,GOOGLE *CLOUD 34FXLv,Office & Shipping,Sale,-100.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977380,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,8df0841113cc,USD,,-100.0,,,,,,,,,,,,100.0
08/25/2025,08/26/2025,GOOGLE *CLOUD R5DNzL,Office & Shipping,Sale,-1384.05,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977399,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,b743157f543f,USD,,-1384.05,,,,,,,,,,,,1384.05
08/25/2025,08/26/2025,UBER* TRIP,Travel,Sale,-33.12,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977418,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,a60bed3fd49e,USD,,-33.12,,,,,,,,,,,,33.12
08/25/2025,08/26/2025,T34 CORPORATION,Entertainment,Sale,-49.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977438,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,f8ce1ff99401,USD,,-49.0,,,,,,,,,,,,49.0
08/25/2025,08/25/2025,Payment Thank You-Mobile,,Payment,3000.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977458,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,d8cd76f0680e,USD,,3000.0,,PAYMENT,PAYMENT,,,,,,,,,3000.0
08/24/2025,08/25/2025,IFD*PANIFICADORA BARBO,Food & Drink,Sale,-8.75,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977479,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,6c114d3db740,USD,,-8.75,,,,,,,,,,,,8.75
08/22/2025,08/24/2025,Amazon web services,Bills & Utilities,Sale,-2273.99,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977499,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,0b0d3254ad80,USD,,-2273.99,,,,,,,,,,,,2273.99
08/22/2025,08/22/2025,Payment Thank You-Mobile,,Payment,1000.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977519,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,50defa46cccb,USD,,1000.0,,PAYMENT,PAYMENT,,,,,,,,,1000.0
08/22/2025,08/22/2025,Payment Thank You-Mobile,,Payment,1070.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977538,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,648d9506a933,USD,,1070.0,,PAYMENT,PAYMENT,,,,,,,,,1070.0
08/21/2025,08/22/2025,DREAMHOST,Bills & Utilities,Sale,-7.99,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977557,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,d50611cfc37e,USD,,-7.99,,,,,,,,,,,,7.99
08/21/2025,08/22/2025,APPLE.COM/BILL,Merchandise & Inventory,Sale,-17.62,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977577,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,8de459aedf09,USD,,-17.62,,,,APPLE,APPLE,,,,,,,17.62
08/21/2025,08/22/2025,AT&amp;T DEVICE/EQUIP SHIP,Office & Shipping,Sale,-2289.59,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977598,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,47d91eabed7d,USD,,-2289.59,,,,,,,,,,,,2289.59
08/21/2025,08/21/2025,Payment Thank You-Mobile,,Payment,1200.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977617,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,ae91f859c1a9,USD,,1200.0,,PAYMENT,PAYMENT,,,,,,,,,1200.0
08/19/2025,08/21/2025,TST*BILLS PIZZA &amp; PUB,Food & Drink,Sale,-12.62,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977637,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,67e899564582,USD,,-12.62,,,,,,,,,,,,12.62
08/19/2025,08/20/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-5.05,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977657,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,7bca564f6cbd,USD,,-5.05,,,,,,,,,,,,5.05
08/19/2025,08/20/2025,TARGET        00028605,Merchandise & Inventory,Sale,-29.15,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977676,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,c7a07d69d74f,USD,,-29.15,,,,,,,,,,,,29.15
08/19/2025,08/20/2025,TARGET        00028605,Merchandise & Inventory,Sale,-22.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977696,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,3ad94bbfa132,USD,,-22.0,,,,,,,,,,,,22.0
08/18/2025,08/19/2025,CVS/PHARMACY #02902,Health & Wellness,Sale,-15.64,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977715,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,62770e74fbf6,USD,,-15.64,,,,,,,,,,,,15.64
08/18/2025,08/19/2025,SIGHTENGINE,Professional Services,Sale,-29.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977735,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,187ef2d8fbc9,USD,,-29.0,,,,,,,,,,,,29.0
08/18/2025,08/19/2025,UPWORK * -837940545,Professional Services,Sale,-87.96,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977754,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,0cf9d43b56fe,USD,,-87.96,,,,,,,,,,,,87.96
08/17/2025,08/18/2025,CCSI EFAX,Bills & Utilities,Sale,-18.95,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977773,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,bfde52dd4eae,USD,,-18.95,,,,,,,,,,,,18.95
08/17/2025,08/18/2025,COSTCO WHSE #1074,Merchandise & Inventory,Sale,-351.9,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977792,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,1b7acb8f988d,USD,,-351.9,,,,,,,,,,,,351.9
08/17/2025,08/18/2025,LUXALGO,Office & Shipping,Sale,-119.99,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977810,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,c946ab208940,USD,,-119.99,,,,,,,,,,,,119.99
08/17/2025,08/17/2025,Payment Thank You-Mobile,,Payment,3000.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977828,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,d8cd76f0680e,USD,,3000.0,,PAYMENT,PAYMENT,,,,,,,,,3000.0
08/16/2025,08/17/2025,APPLE.COM/BILL,Merchandise & Inventory,Sale,-16.19,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977847,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,50842780416b,USD,,-16.19,,,,APPLE,APPLE,,,,,,,16.19
08/15/2025,08/17/2025,UBER* TRIP,Travel,Sale,-3.51,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977864,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,1ee8b0eda794,USD,,-3.51,,,,,,,,,,,,3.51
08/16/2025,08/17/2025,UBER* TRIP,Travel,Sale,-2.47,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977882,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,18509b20a59e,USD,,-2.47,,,,,,,,,,,,2.47
08/15/2025,08/17/2025,UBER* TRIP,Travel,Sale,-1.97,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977899,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,8d2bcfd17564,USD,,-1.97,,,,,,,,,,,,1.97
08/15/2025,08/17/2025,VEED LIMITED,Office & Shipping,Sale,-12.8,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977917,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,9c897ffa6e93,USD,,-12.8,,,,,,,,,,,,12.8
08/15/2025,08/17/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.977936,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,7a97070003db,USD,,-20.0,,,,,,,,,,,,20.0
